"ID_DOMINATION","CD_MATCH","CD_CLUB_DOMICILE","CD_CLUB_EXTERIEUR","CLUB_DOMINANT","DEBUT_DOMINATION","FIN_DOMINATION","SCORE_DOM_AV","SCORE_EXT_AV","SCORE_DOM_AP","SCORE_EXT_AP","ACTION_CREATRICE","NB_TIR_DOM","NB_TIR_EXT","NB_ARRET_DOM","NB_ARRET_EXT","NB_ACTION_DEF","NB_TIR_DIFF","ECART_AV","ECART_AP","ECART_CREE","DUREE"
"FR-1-H_32_31_5705_6","FR-1-H_32_31_5705","FR_DHBGL_59140","FR_USAMNG_30918","FR_DHBGL_59140",32:26:00,35:02:00,11,15,13,15,NA,3,1,2,0,2,0,-4,-2,2,9360
"FR-1-H_32_31_5705_7","FR-1-H_32_31_5705","FR_DHBGL_59140","FR_USAMNG_30918","FR_USAMNG_30918",35:02:00,36:41:00,13,15,13,17,NA,1,2,0,0,0,1,2,4,2,5940
"FR-1-H_32_31_5705_8","FR-1-H_32_31_5705","FR_DHBGL_59140","FR_USAMNG_30918","FR_DHBGL_59140",36:41:00,39:51:00,13,17,15,17,NA,2,0,1,0,5,1,-4,-2,2,11400
"FR-1-H_32_31_5705_9","FR-1-H_32_31_5705","FR_DHBGL_59140","FR_USAMNG_30918","FR_USAMNG_30918",39:51:00,49:15:00,15,17,15,20,NA,3,5,1,2,14,0,2,5,3,33840
"FR-1-H_32_31_5706_1","FR-1-H_32_31_5706","FR_IPHB_13806","FR_CCMHB_28000","FR_IPHB_13806",00:00:00,03:33:00,0,0,2,0,NA,4,0,1,0,6,0,0,2,2,12780
"FR-1-H_32_31_5706_10","FR-1-H_32_31_5706","FR_IPHB_13806","FR_CCMHB_28000","FR_CCMHB_28000",44:13:00,46:04:00,21,22,21,24,NA,0,2,0,1,2,0,1,3,2,6660
"FR-1-H_32_31_5706_11","FR-1-H_32_31_5706","FR_IPHB_13806","FR_CCMHB_28000","FR_CCMHB_28000",47:51:00,50:20:00,22,24,22,27,NA,0,2,0,0,1,0,2,5,3,8940
"FR-1-H_32_31_5706_12","FR-1-H_32_31_5706","FR_IPHB_13806","FR_CCMHB_28000","FR_IPHB_13806",50:20:00,52:24:00,22,27,24,27,NA,2,0,1,0,1,1,-5,-3,2,7440
"FR-1-H_32_31_5706_13","FR-1-H_32_31_5706","FR_IPHB_13806","FR_CCMHB_28000","FR_CCMHB_28000",56:56:00,58:50:00,27,30,27,32,NA,1,2,2,0,2,1,3,5,2,6840
"FR-1-H_32_31_5706_2","FR-1-H_32_31_5706","FR_IPHB_13806","FR_CCMHB_28000","FR_IPHB_13806",04:01:00,06:02:00,2,1,4,1,NA,1,0,2,0,4,0,1,3,2,7260
"FR-1-H_32_31_5706_3","FR-1-H_32_31_5706","FR_IPHB_13806","FR_CCMHB_28000","FR_CCMHB_28000",06:02:00,07:05:00,4,1,4,3,NA,0,1,0,0,1,1,-3,-1,2,3780
"FR-1-H_32_31_5706_4","FR-1-H_32_31_5706","FR_IPHB_13806","FR_CCMHB_28000","FR_IPHB_13806",09:53:00,11:06:00,5,4,7,4,NA,2,0,0,0,1,0,1,3,2,4380
"FR-1-H_32_31_5706_5","FR-1-H_32_31_5706","FR_IPHB_13806","FR_CCMHB_28000","FR_IPHB_13806",17:01:00,19:29:00,9,7,11,7,NA,2,1,1,0,1,1,2,4,2,8880
"FR-1-H_32_31_5706_6","FR-1-H_32_31_5706","FR_IPHB_13806","FR_CCMHB_28000","FR_CCMHB_28000",19:29:00,21:45:00,11,7,11,9,NA,1,3,0,0,0,1,-4,-2,2,8160
"FR-1-H_32_31_5706_7","FR-1-H_32_31_5706","FR_IPHB_13806","FR_CCMHB_28000","FR_CCMHB_28000",28:44:00,31:14:00,14,11,14,14,NA,0,3,0,0,1,2,-3,0,3,9000
"FR-1-H_32_31_5706_8","FR-1-H_32_31_5706","FR_IPHB_13806","FR_CCMHB_28000","FR_CCMHB_28000",31:28:00,33:25:00,15,14,15,16,NA,1,2,0,0,1,0,-1,1,2,7020
"FR-1-H_32_31_5706_9","FR-1-H_32_31_5706","FR_IPHB_13806","FR_CCMHB_28000","FR_CCMHB_28000",37:54:00,39:59:00,18,18,18,20,NA,0,2,0,1,2,1,0,2,2,7500
"FR-1-H_32_31_5707_1","FR-1-H_32_31_5707","FR_USIHB_94200","FR_MHB_34000","FR_MHB_34000",00:00:00,05:41:00,0,0,0,4,NA,0,4,1,2,7,2,0,4,4,20460
"FR-1-H_32_31_5707_10","FR-1-H_32_31_5707","FR_USIHB_94200","FR_MHB_34000","FR_USIHB_94200",40:30:00,44:29:00,16,22,19,22,NA,3,0,0,0,6,2,-6,-3,3,14340
"FR-1-H_32_31_5707_11","FR-1-H_32_31_5707","FR_USIHB_94200","FR_MHB_34000","FR_MHB_34000",44:29:00,46:10:00,19,22,19,24,NA,1,1,0,0,2,1,3,5,2,6060
"FR-1-H_32_31_5707_12","FR-1-H_32_31_5707","FR_USIHB_94200","FR_MHB_34000","FR_MHB_34000",51:01:00,54:20:00,22,26,22,28,NA,0,2,2,1,6,1,4,6,2,11940
"FR-1-H_32_31_5707_13","FR-1-H_32_31_5707","FR_USIHB_94200","FR_MHB_34000","FR_USIHB_94200",55:13:00,56:57:00,23,29,25,29,NA,2,0,0,0,1,1,-6,-4,2,6240
"FR-1-H_32_31_5707_2","FR-1-H_32_31_5707","FR_USIHB_94200","FR_MHB_34000","FR_USIHB_94200",12:50:00,14:14:00,2,6,4,6,NA,2,0,2,0,2,1,-4,-2,2,5040
"FR-1-H_32_31_5707_3","FR-1-H_32_31_5707","FR_USIHB_94200","FR_MHB_34000","FR_MHB_34000",14:14:00,18:50:00,4,6,4,10,NA,0,5,0,1,5,1,2,6,4,16560
"FR-1-H_32_31_5707_4","FR-1-H_32_31_5707","FR_USIHB_94200","FR_MHB_34000","FR_MHB_34000",19:16:00,21:49:00,5,10,5,13,NA,0,3,1,2,3,3,5,8,3,9180
"FR-1-H_32_31_5707_5","FR-1-H_32_31_5707","FR_USIHB_94200","FR_MHB_34000","FR_MHB_34000",22:44:00,24:13:00,6,13,6,15,NA,0,1,0,0,2,0,7,9,2,5340
"FR-1-H_32_31_5707_6","FR-1-H_32_31_5707","FR_USIHB_94200","FR_MHB_34000","FR_USIHB_94200",24:13:00,25:24:00,6,15,8,15,NA,1,0,1,0,1,1,-9,-7,2,4260
"FR-1-H_32_31_5707_7","FR-1-H_32_31_5707","FR_USIHB_94200","FR_MHB_34000","FR_USIHB_94200",26:35:00,28:52:00,8,16,10,16,NA,2,3,0,0,0,0,-8,-6,2,8220
"FR-1-H_32_31_5707_8","FR-1-H_32_31_5707","FR_USIHB_94200","FR_MHB_34000","FR_MHB_34000",28:52:00,30:00:00,10,16,10,18,NA,0,2,1,1,2,1,6,8,2,4080
"FR-1-H_32_31_5707_9","FR-1-H_32_31_5707","FR_USIHB_94200","FR_MHB_34000","FR_USIHB_94200",33:23:00,38:02:00,12,20,15,20,NA,4,0,2,0,7,1,-8,-5,3,16740
"FR-1-H_32_31_5708_1","FR-1-H_32_31_5708","FR_HBCN_44200","FR_USCHB_94000","FR_HBCN_44200",00:43:00,02:10:00,0,1,2,1,NA,2,0,1,0,2,0,-1,1,2,5220
"FR-1-H_32_31_5708_10","FR-1-H_32_31_5708","FR_HBCN_44200","FR_USCHB_94000","FR_USCHB_94000",46:04:00,51:31:00,24,19,24,22,NA,1,4,1,1,7,1,-5,-2,3,19620
"FR-1-H_32_31_5708_11","FR-1-H_32_31_5708","FR_HBCN_44200","FR_USCHB_94000","FR_HBCN_44200",51:31:00,53:16:00,24,22,26,22,NA,2,1,0,0,1,0,2,4,2,6300
"FR-1-H_32_31_5708_12","FR-1-H_32_31_5708","FR_HBCN_44200","FR_USCHB_94000","FR_USCHB_94000",53:16:00,57:18:00,26,22,26,24,NA,2,2,0,1,9,0,-4,-2,2,14520
"FR-1-H_32_31_5708_2","FR-1-H_32_31_5708","FR_HBCN_44200","FR_USCHB_94000","FR_HBCN_44200",04:50:00,11:36:00,2,2,7,2,NA,6,1,0,0,9,1,0,5,5,24360
"FR-1-H_32_31_5708_3","FR-1-H_32_31_5708","FR_HBCN_44200","FR_USCHB_94000","FR_USCHB_94000",11:59:00,15:19:00,8,3,8,5,NA,1,2,0,2,6,1,-5,-3,2,12000
"FR-1-H_32_31_5708_4","FR-1-H_32_31_5708","FR_HBCN_44200","FR_USCHB_94000","FR_HBCN_44200",18:42:00,20:22:00,9,6,11,6,NA,2,0,1,0,4,0,3,5,2,6000
"FR-1-H_32_31_5708_5","FR-1-H_32_31_5708","FR_HBCN_44200","FR_USCHB_94000","FR_USCHB_94000",20:22:00,23:13:00,11,6,11,8,NA,0,3,1,1,3,0,-5,-3,2,10260
"FR-1-H_32_31_5708_6","FR-1-H_32_31_5708","FR_HBCN_44200","FR_USCHB_94000","FR_USCHB_94000",23:44:00,25:34:00,12,8,12,10,NA,1,2,0,0,2,1,-4,-2,2,6600
"FR-1-H_32_31_5708_7","FR-1-H_32_31_5708","FR_HBCN_44200","FR_USCHB_94000","FR_HBCN_44200",27:06:00,30:00:00,13,11,15,11,NA,3,1,1,1,8,1,2,4,2,10440
"FR-1-H_32_31_5708_8","FR-1-H_32_31_5708","FR_HBCN_44200","FR_USCHB_94000","FR_USCHB_94000",33:58:00,35:12:00,17,13,17,15,NA,0,1,0,0,0,0,-4,-2,2,4440
"FR-1-H_32_31_5708_9","FR-1-H_32_31_5708","FR_HBCN_44200","FR_USCHB_94000","FR_HBCN_44200",37:09:00,39:30:00,18,16,21,16,NA,2,1,1,0,2,0,2,5,3,8460
"FR-1-H_32_31_5709_1","FR-1-H_32_31_5709","FR_PSGHB_75016","FR_LHB_87000","FR_PSGHB_75016",04:44:00,08:13:00,1,1,4,1,NA,3,0,1,0,4,1,0,3,3,12540
"FR-1-H_32_31_5709_10","FR-1-H_32_31_5709","FR_PSGHB_75016","FR_LHB_87000","FR_PSGHB_75016",45:43:00,48:07:00,31,14,34,14,NA,3,0,1,0,3,0,17,20,3,8640
"FR-1-H_32_31_5709_11","FR-1-H_32_31_5709","FR_PSGHB_75016","FR_LHB_87000","FR_LHB_87000",51:19:00,52:40:00,35,15,35,17,NA,0,2,0,0,2,0,-20,-18,2,4860
"FR-1-H_32_31_5709_12","FR-1-H_32_31_5709","FR_PSGHB_75016","FR_LHB_87000","FR_PSGHB_75016",53:42:00,54:40:00,36,18,38,18,NA,3,1,0,0,1,0,18,20,2,3480
"FR-1-H_32_31_5709_13","FR-1-H_32_31_5709","FR_PSGHB_75016","FR_LHB_87000","FR_PSGHB_75016",55:44:00,59:12:00,38,19,42,19,NA,4,1,0,0,4,1,19,23,4,12480
"FR-1-H_32_31_5709_2","FR-1-H_32_31_5709","FR_PSGHB_75016","FR_LHB_87000","FR_PSGHB_75016",09:54:00,15:37:00,4,2,9,2,NA,5,2,2,1,8,1,2,7,5,20580
"FR-1-H_32_31_5709_3","FR-1-H_32_31_5709","FR_PSGHB_75016","FR_LHB_87000","FR_PSGHB_75016",20:38:00,22:15:00,11,5,14,5,NA,3,1,0,0,2,0,6,9,3,5820
"FR-1-H_32_31_5709_4","FR-1-H_32_31_5709","FR_PSGHB_75016","FR_LHB_87000","FR_PSGHB_75016",22:51:00,27:22:00,14,6,19,6,NA,6,1,1,0,5,1,8,13,5,16260
"FR-1-H_32_31_5709_5","FR-1-H_32_31_5709","FR_PSGHB_75016","FR_LHB_87000","FR_LHB_87000",27:22:00,28:51:00,19,6,19,8,NA,0,1,0,0,1,0,-13,-11,2,5340
"FR-1-H_32_31_5709_6","FR-1-H_32_31_5709","FR_PSGHB_75016","FR_LHB_87000","FR_PSGHB_75016",28:51:00,32:37:00,19,8,23,8,NA,3,2,2,0,4,0,11,15,4,13560
"FR-1-H_32_31_5709_7","FR-1-H_32_31_5709","FR_PSGHB_75016","FR_LHB_87000","FR_PSGHB_75016",34:13:00,38:10:00,24,10,27,10,NA,3,2,0,0,6,0,14,17,3,14220
"FR-1-H_32_31_5709_8","FR-1-H_32_31_5709","FR_PSGHB_75016","FR_LHB_87000","FR_PSGHB_75016",40:27:00,42:48:00,28,12,31,12,NA,2,0,0,0,3,0,16,19,3,8460
"FR-1-H_32_31_5709_9","FR-1-H_32_31_5709","FR_PSGHB_75016","FR_LHB_87000","FR_LHB_87000",42:48:00,45:43:00,31,12,31,14,NA,2,5,0,0,3,0,-19,-17,2,10500
"FR-1-H_32_31_5710_1","FR-1-H_32_31_5710","FR_SRVHB_83700","FR_PAUC_13100","FR_SRVHB_83700",02:41:00,03:36:00,1,2,3,2,NA,1,1,0,0,0,0,-1,1,2,3300
"FR-1-H_32_31_5710_10","FR-1-H_32_31_5710","FR_SRVHB_83700","FR_PAUC_13100","FR_PAUC_13100",48:34:00,53:08:00,22,25,22,27,NA,0,2,1,2,5,0,3,5,2,16440
"FR-1-H_32_31_5710_11","FR-1-H_32_31_5710","FR_SRVHB_83700","FR_PAUC_13100","FR_SRVHB_83700",53:08:00,56:00:00,22,27,24,27,NA,3,1,0,1,4,1,-5,-3,2,10320
"FR-1-H_32_31_5710_12","FR-1-H_32_31_5710","FR_SRVHB_83700","FR_PAUC_13100","FR_SRVHB_83700",56:36:00,58:51:00,24,28,26,28,NA,2,0,0,1,4,0,-4,-2,2,8100
"FR-1-H_32_31_5710_2","FR-1-H_32_31_5710","FR_SRVHB_83700","FR_PAUC_13100","FR_PAUC_13100",12:02:00,20:31:00,7,6,7,11,NA,1,6,3,4,19,0,-1,4,5,30540
"FR-1-H_32_31_5710_3","FR-1-H_32_31_5710","FR_SRVHB_83700","FR_PAUC_13100","FR_SRVHB_83700",21:24:00,24:12:00,8,12,10,12,NA,3,0,0,0,3,2,-4,-2,2,10080
"FR-1-H_32_31_5710_4","FR-1-H_32_31_5710","FR_SRVHB_83700","FR_PAUC_13100","FR_PAUC_13100",26:55:00,29:03:00,11,13,11,15,NA,0,2,0,1,2,0,2,4,2,7680
"FR-1-H_32_31_5710_5","FR-1-H_32_31_5710","FR_SRVHB_83700","FR_PAUC_13100","FR_PAUC_13100",29:09:00,31:52:00,12,15,12,17,NA,0,3,0,1,4,0,3,5,2,9780
"FR-1-H_32_31_5710_6","FR-1-H_32_31_5710","FR_SRVHB_83700","FR_PAUC_13100","FR_PAUC_13100",33:10:00,34:50:00,14,18,14,21,NA,0,3,0,1,3,1,4,7,3,6000
"FR-1-H_32_31_5710_7","FR-1-H_32_31_5710","FR_SRVHB_83700","FR_PAUC_13100","FR_PAUC_13100",35:04:00,38:25:00,15,21,15,23,NA,0,2,1,2,7,0,6,8,2,12060
"FR-1-H_32_31_5710_8","FR-1-H_32_31_5710","FR_SRVHB_83700","FR_PAUC_13100","FR_SRVHB_83700",38:25:00,39:56:00,15,23,17,23,NA,2,0,0,0,1,1,-8,-6,2,5460
"FR-1-H_32_31_5710_9","FR-1-H_32_31_5710","FR_SRVHB_83700","FR_PAUC_13100","FR_SRVHB_83700",41:36:00,46:12:00,17,24,21,24,NA,4,0,2,1,10,1,-7,-3,4,16560
"FR-1-H_32_31_5711_1","FR-1-H_32_31_5711","FR_FTHB_31000","FR_TFHB_93290","FR_TFHB_93290",12:31:00,14:06:00,6,5,6,7,NA,0,2,0,0,2,0,-1,1,2,5700
"FR-1-H_32_31_5711_10","FR-1-H_32_31_5711","FR_FTHB_31000","FR_TFHB_93290","FR_TFHB_93290",48:07:00,50:38:00,21,19,21,21,NA,0,2,0,0,2,0,-2,0,2,9060
"FR-1-H_32_31_5711_11","FR-1-H_32_31_5711","FR_FTHB_31000","FR_TFHB_93290","FR_FTHB_31000",50:38:00,54:20:00,21,21,24,21,NA,3,1,1,0,5,2,0,3,3,13320
"FR-1-H_32_31_5711_12","FR-1-H_32_31_5711","FR_FTHB_31000","FR_TFHB_93290","FR_TFHB_93290",54:20:00,59:53:00,24,21,24,24,NA,0,3,1,2,12,1,-3,0,3,19980
"FR-1-H_32_31_5711_2","FR-1-H_32_31_5711","FR_FTHB_31000","FR_TFHB_93290","FR_FTHB_31000",19:08:00,20:32:00,8,9,10,9,NA,2,1,1,0,2,0,-1,1,2,5040
"FR-1-H_32_31_5711_3","FR-1-H_32_31_5711","FR_FTHB_31000","FR_TFHB_93290","FR_FTHB_31000",21:08:00,23:05:00,10,10,12,10,NA,2,0,0,0,1,0,0,2,2,7020
"FR-1-H_32_31_5711_4","FR-1-H_32_31_5711","FR_FTHB_31000","FR_TFHB_93290","FR_TFHB_93290",23:05:00,25:35:00,12,10,12,12,NA,1,2,0,2,3,1,-2,0,2,9000
"FR-1-H_32_31_5711_5","FR-1-H_32_31_5711","FR_FTHB_31000","FR_TFHB_93290","FR_FTHB_31000",25:35:00,27:40:00,12,12,14,12,NA,1,1,0,0,1,0,0,2,2,7500
"FR-1-H_32_31_5711_6","FR-1-H_32_31_5711","FR_FTHB_31000","FR_TFHB_93290","FR_TFHB_93290",27:40:00,30:00:00,14,12,14,14,NA,2,2,0,1,5,1,-2,0,2,8400
"FR-1-H_32_31_5711_7","FR-1-H_32_31_5711","FR_FTHB_31000","FR_TFHB_93290","FR_TFHB_93290",33:52:00,35:01:00,16,15,16,17,NA,0,2,0,1,1,0,-1,1,2,4140
"FR-1-H_32_31_5711_8","FR-1-H_32_31_5711","FR_FTHB_31000","FR_TFHB_93290","FR_FTHB_31000",35:01:00,39:30:00,16,17,18,17,NA,4,1,1,2,8,0,-1,1,2,16140
"FR-1-H_32_31_5711_9","FR-1-H_32_31_5711","FR_FTHB_31000","FR_TFHB_93290","FR_FTHB_31000",40:18:00,44:43:00,18,18,20,18,NA,3,1,1,1,9,1,0,2,2,15900
"FR-1-H_32_32_5712_1","FR-1-H_32_32_5712","FR_DHBGL_59140","FR_PAUC_13100","FR_DHBGL_59140",01:01:00,01:54:00,0,0,2,0,NA,2,0,0,0,1,0,0,2,2,3180
"FR-1-H_32_32_5712_10","FR-1-H_32_32_5712","FR_DHBGL_59140","FR_PAUC_13100","FR_DHBGL_59140",32:40:00,36:13:00,17,14,19,14,NA,2,0,1,1,7,1,3,5,2,12780
"FR-1-H_32_32_5712_11","FR-1-H_32_32_5712","FR_DHBGL_59140","FR_PAUC_13100","FR_PAUC_13100",41:56:00,45:06:00,22,17,22,19,NA,0,2,0,1,2,0,-5,-3,2,11400
"FR-1-H_32_32_5712_12","FR-1-H_32_32_5712","FR_DHBGL_59140","FR_PAUC_13100","FR_PAUC_13100",45:12:00,53:44:00,23,19,23,24,NA,2,7,1,1,13,1,-4,1,5,30720
"FR-1-H_32_32_5712_2","FR-1-H_32_32_5712","FR_DHBGL_59140","FR_PAUC_13100","FR_PAUC_13100",02:59:00,05:44:00,3,1,3,3,NA,0,2,0,2,5,0,-2,0,2,9900
"FR-1-H_32_32_5712_3","FR-1-H_32_32_5712","FR_DHBGL_59140","FR_PAUC_13100","FR_DHBGL_59140",05:44:00,10:11:00,3,3,6,3,NA,6,0,1,0,8,0,0,3,3,16020
"FR-1-H_32_32_5712_4","FR-1-H_32_32_5712","FR_DHBGL_59140","FR_PAUC_13100","FR_PAUC_13100",12:15:00,14:41:00,8,5,8,7,NA,0,2,0,1,2,0,-3,-1,2,8760
"FR-1-H_32_32_5712_5","FR-1-H_32_32_5712","FR_DHBGL_59140","FR_PAUC_13100","FR_PAUC_13100",14:52:00,18:28:00,9,7,9,9,NA,0,4,0,1,3,0,-2,0,2,12960
"FR-1-H_32_32_5712_6","FR-1-H_32_32_5712","FR_DHBGL_59140","FR_PAUC_13100","FR_DHBGL_59140",18:28:00,21:08:00,9,9,13,9,NA,2,1,0,0,4,0,0,4,4,9600
"FR-1-H_32_32_5712_7","FR-1-H_32_32_5712","FR_DHBGL_59140","FR_PAUC_13100","FR_PAUC_13100",21:16:00,23:45:00,13,9,13,11,NA,0,2,1,2,7,0,-4,-2,2,8940
"FR-1-H_32_32_5712_8","FR-1-H_32_32_5712","FR_DHBGL_59140","FR_PAUC_13100","FR_DHBGL_59140",23:45:00,26:37:00,13,11,16,11,NA,3,0,1,0,4,2,2,5,3,10320
"FR-1-H_32_32_5712_9","FR-1-H_32_32_5712","FR_DHBGL_59140","FR_PAUC_13100","FR_PAUC_13100",29:05:00,32:40:00,17,12,17,14,NA,0,2,1,2,4,0,-5,-3,2,12900
"FR-1-H_32_32_5713_1","FR-1-H_32_32_5713","FR_CSMBHB_73000","FR_HBCN_44200","FR_HBCN_44200",03:54:00,07:10:00,2,2,2,5,NA,2,4,0,0,3,0,0,3,3,11760
"FR-1-H_32_32_5713_2","FR-1-H_32_32_5713","FR_CSMBHB_73000","FR_HBCN_44200","FR_HBCN_44200",15:40:00,20:00:00,7,9,7,12,NA,1,5,0,3,6,0,2,5,3,15600
"FR-1-H_32_32_5713_3","FR-1-H_32_32_5713","FR_CSMBHB_73000","FR_HBCN_44200","FR_HBCN_44200",22:28:00,25:05:00,9,13,9,15,NA,0,1,0,1,4,0,4,6,2,9420
"FR-1-H_32_32_5713_4","FR-1-H_32_32_5713","FR_CSMBHB_73000","FR_HBCN_44200","FR_HBCN_44200",25:31:00,33:40:00,10,15,10,22,NA,0,11,2,2,16,1,5,12,7,29340
"FR-1-H_32_32_5713_5","FR-1-H_32_32_5713","FR_CSMBHB_73000","FR_HBCN_44200","FR_HBCN_44200",34:34:00,36:55:00,11,22,11,24,NA,1,1,0,1,3,1,11,13,2,8460
"FR-1-H_32_32_5713_6","FR-1-H_32_32_5713","FR_CSMBHB_73000","FR_HBCN_44200","FR_CSMBHB_73000",36:55:00,40:44:00,11,24,14,24,NA,2,0,2,0,6,0,-13,-10,3,13740
"FR-1-H_32_32_5713_7","FR-1-H_32_32_5713","FR_CSMBHB_73000","FR_HBCN_44200","FR_CSMBHB_73000",47:19:00,49:00:00,17,28,19,28,NA,2,1,0,0,3,0,-11,-9,2,6060
"FR-1-H_32_32_5713_8","FR-1-H_32_32_5713","FR_CSMBHB_73000","FR_HBCN_44200","FR_HBCN_44200",55:29:00,57:06:00,22,31,22,33,NA,0,2,0,0,2,0,9,11,2,5820
"FR-1-H_32_32_5713_9","FR-1-H_32_32_5713","FR_CSMBHB_73000","FR_HBCN_44200","FR_CSMBHB_73000",58:01:00,58:32:00,23,34,25,34,NA,2,1,0,0,0,2,-11,-9,2,1860
"FR-1-H_32_32_5714_1","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_CCMHB_28000",01:00:00,01:45:00,0,0,2,0,NA,2,0,0,0,1,0,0,2,2,2700
"FR-1-H_32_32_5714_10","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_CCMHB_28000",30:43:00,32:00:00,18,12,20,12,NA,1,0,1,0,2,1,6,8,2,4620
"FR-1-H_32_32_5714_11","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_USIHB_94200",32:00:00,33:59:00,20,12,20,14,NA,0,4,0,0,3,1,-8,-6,2,7140
"FR-1-H_32_32_5714_12","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_CCMHB_28000",34:48:00,36:43:00,21,15,23,15,NA,2,0,1,0,3,0,6,8,2,6900
"FR-1-H_32_32_5714_13","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_USIHB_94200",36:43:00,38:43:00,23,15,23,17,NA,0,2,0,1,5,1,-8,-6,2,7200
"FR-1-H_32_32_5714_14","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_CCMHB_28000",38:43:00,41:39:00,23,17,27,17,NA,3,1,1,0,5,1,6,10,4,10560
"FR-1-H_32_32_5714_15","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_USIHB_94200",41:39:00,45:03:00,27,17,27,19,NA,0,3,0,1,5,0,-10,-8,2,12240
"FR-1-H_32_32_5714_16","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_USIHB_94200",45:25:00,52:52:00,28,19,28,23,NA,2,4,1,2,8,1,-9,-5,4,26820
"FR-1-H_32_32_5714_17","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_CCMHB_28000",52:14:00,53:53:00,28,23,30,23,NA,2,0,0,0,3,1,5,7,2,5940
"FR-1-H_32_32_5714_18","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_USIHB_94200",57:52:00,59:52:00,32,25,32,28,NA,1,3,0,2,3,2,-7,-4,3,7200
"FR-1-H_32_32_5714_2","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_USIHB_94200",01:45:00,02:40:00,2,0,2,2,NA,0,2,0,0,1,0,-2,0,2,3300
"FR-1-H_32_32_5714_3","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_USIHB_94200",02:55:00,04:40:00,3,2,3,4,NA,0,2,0,0,1,2,-1,1,2,6300
"FR-1-H_32_32_5714_4","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_CCMHB_28000",06:18:00,09:45:00,4,5,7,5,NA,3,1,1,0,4,3,-1,2,3,12420
"FR-1-H_32_32_5714_5","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_CCMHB_28000",10:04:00,12:30:00,7,6,9,6,NA,1,0,0,0,1,0,1,3,2,8760
"FR-1-H_32_32_5714_6","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_CCMHB_28000",13:53:00,16:15:00,9,7,12,7,NA,3,0,1,0,2,2,2,5,3,8520
"FR-1-H_32_32_5714_7","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_USIHB_94200",16:15:00,19:35:00,12,7,12,9,NA,1,3,0,2,6,0,-5,-3,2,12000
"FR-1-H_32_32_5714_8","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_CCMHB_28000",19:35:00,22:26:00,12,9,15,9,NA,3,1,1,0,3,0,3,6,3,10260
"FR-1-H_32_32_5714_9","FR-1-H_32_32_5714","FR_CCMHB_28000","FR_USIHB_94200","FR_CCMHB_28000",23:18:00,26:38:00,15,10,17,10,NA,3,0,0,0,3,0,5,7,2,12000
"FR-1-H_32_32_5715_1","FR-1-H_32_32_5715","FR_USCHB_94000","FR_IPHB_13806","FR_IPHB_13806",04:36:00,11:33:00,2,2,2,7,NA,0,6,0,2,10,1,0,5,5,25020
"FR-1-H_32_32_5715_2","FR-1-H_32_32_5715","FR_USCHB_94000","FR_IPHB_13806","FR_IPHB_13806",14:39:00,24:09:00,4,8,4,12,NA,1,4,1,2,12,2,4,8,4,34200
"FR-1-H_32_32_5715_3","FR-1-H_32_32_5715","FR_USCHB_94000","FR_IPHB_13806","FR_USCHB_94000",36:36:00,40:58:00,10,18,13,18,NA,3,1,2,0,8,0,-8,-5,3,15720
"FR-1-H_32_32_5715_4","FR-1-H_32_32_5715","FR_USCHB_94000","FR_IPHB_13806","FR_USCHB_94000",42:54:00,46:07:00,14,20,16,20,NA,1,1,0,0,2,0,-6,-4,2,11580
"FR-1-H_32_32_5715_5","FR-1-H_32_32_5715","FR_USCHB_94000","FR_IPHB_13806","FR_IPHB_13806",46:21:00,50:52:00,16,20,16,22,NA,1,3,0,1,5,0,4,6,2,16260
"FR-1-H_32_32_5715_6","FR-1-H_32_32_5715","FR_USCHB_94000","FR_IPHB_13806","FR_USCHB_94000",50:52:00,53:18:00,16,22,18,22,NA,1,0,1,0,2,0,-6,-4,2,8760
"FR-1-H_32_32_5715_7","FR-1-H_32_32_5715","FR_USCHB_94000","FR_IPHB_13806","FR_USCHB_94000",54:00:00,55:12:00,18,23,20,23,NA,2,0,0,0,2,1,-5,-3,2,4320
