"ID_DOMINATION","CD_MATCH","CD_CLUB_DOMICILE","CD_CLUB_EXTERIEUR","CLUB_DOMINANT","DEBUT_DOMINATION","FIN_DOMINATION","SCORE_DOM_AV","SCORE_EXT_AV","SCORE_DOM_AP","SCORE_EXT_AP","ACTION_CREATRICE","NB_TIR_DOM","NB_TIR_EXT","NB_ARRET_DOM","NB_ARRET_EXT","NB_ACTION_DEF","NB_TIR_DIFF","ECART_AV","ECART_AP","ECART_CREE","DUREE"
"FR-1-H_32_26_5668_12","FR-1-H_32_26_5668","FR_LHB_87000","FR_USCHB_94000","FR_LHB_87000",47:14:00,49:15:00,20,22,23,22,NA,1,0,1,0,3,0,-2,1,3,7260
"FR-1-H_32_26_5668_13","FR-1-H_32_26_5668","FR_LHB_87000","FR_USCHB_94000","FR_USCHB_94000",49:15:00,50:32:00,23,22,23,24,NA,0,2,1,0,2,1,-1,1,2,4620
"FR-1-H_32_26_5668_14","FR-1-H_32_26_5668","FR_LHB_87000","FR_USCHB_94000","FR_LHB_87000",50:32:00,54:03:00,23,24,25,24,NA,2,0,1,1,5,0,-1,1,2,12660
"FR-1-H_32_26_5668_15","FR-1-H_32_26_5668","FR_LHB_87000","FR_USCHB_94000","FR_USCHB_94000",54:03:00,56:32:00,25,24,25,26,NA,0,2,1,0,2,1,-1,1,2,8940
"FR-1-H_32_26_5668_16","FR-1-H_32_26_5668","FR_LHB_87000","FR_USCHB_94000","FR_LHB_87000",57:14:00,59:23:00,26,27,28,27,NA,2,0,1,0,5,1,-1,1,2,7740
"FR-1-H_32_26_5668_2","FR-1-H_32_26_5668","FR_LHB_87000","FR_USCHB_94000","FR_USCHB_94000",01:38:00,06:40:00,2,0,2,3,NA,1,3,1,0,8,0,-2,1,3,18120
"FR-1-H_32_26_5668_3","FR-1-H_32_26_5668","FR_LHB_87000","FR_USCHB_94000","FR_LHB_87000",07:55:00,10:38:00,3,4,6,4,NA,3,0,2,0,2,1,-1,2,3,9780
"FR-1-H_32_26_5668_4","FR-1-H_32_26_5668","FR_LHB_87000","FR_USCHB_94000","FR_USCHB_94000",10:38:00,12:09:00,6,4,6,6,NA,0,2,0,1,2,1,-2,0,2,5460
"FR-1-H_32_26_5668_5","FR-1-H_32_26_5668","FR_LHB_87000","FR_USCHB_94000","FR_USCHB_94000",12:57:00,15:24:00,7,6,7,9,NA,0,2,1,1,4,1,-1,2,3,8820
"FR-1-H_32_26_5668_6","FR-1-H_32_26_5668","FR_LHB_87000","FR_USCHB_94000","FR_USCHB_94000",19:03:00,21:00:00,10,11,10,14,NA,0,2,0,0,1,0,1,4,3,7020
"FR-1-H_32_26_5668_7","FR-1-H_32_26_5668","FR_LHB_87000","FR_USCHB_94000","FR_LHB_87000",21:00:00,24:59:00,10,14,12,14,NA,2,1,0,0,4,0,-4,-2,2,14340
"FR-1-H_32_26_5668_8","FR-1-H_32_26_5668","FR_LHB_87000","FR_USCHB_94000","FR_USCHB_94000",24:59:00,29:16:00,12,14,12,16,NA,1,2,0,1,7,1,2,4,2,15420
"FR-1-H_32_26_5668_9","FR-1-H_32_26_5668","FR_LHB_87000","FR_USCHB_94000","FR_LHB_87000",29:16:00,34:15:00,12,16,14,16,NA,0,0,2,1,9,0,-4,-2,2,17940
"FR-1-H_32_26_5669_1","FR-1-H_32_26_5669","FR_PSGHB_75016","FR_CRMHB_35510","FR_PSGHB_75016",01:52:00,02:57:00,0,0,2,0,NA,2,0,0,0,1,1,0,2,2,3900
"FR-1-H_32_26_5669_10","FR-1-H_32_26_5669","FR_PSGHB_75016","FR_CRMHB_35510","FR_PSGHB_75016",46:08:00,48:09:00,28,16,30,16,NA,3,1,0,0,2,1,12,14,2,7260
"FR-1-H_32_26_5669_11","FR-1-H_32_26_5669","FR_PSGHB_75016","FR_CRMHB_35510","FR_PSGHB_75016",48:42:00,49:51:00,30,17,32,17,NA,1,0,0,0,2,0,13,15,2,4140
"FR-1-H_32_26_5669_12","FR-1-H_32_26_5669","FR_PSGHB_75016","FR_CRMHB_35510","FR_PSGHB_75016",50:19:00,56:35:00,32,18,36,18,NA,8,4,1,1,11,0,14,18,4,22560
"FR-1-H_32_26_5669_2","FR-1-H_32_26_5669","FR_PSGHB_75016","FR_CRMHB_35510","FR_PSGHB_75016",04:49:00,06:36:00,2,1,4,1,NA,2,1,0,1,2,0,1,3,2,6420
"FR-1-H_32_26_5669_3","FR-1-H_32_26_5669","FR_PSGHB_75016","FR_CRMHB_35510","FR_CRMHB_35510",08:40:00,10:12:00,5,2,5,4,NA,1,2,0,0,1,1,-3,-1,2,5520
"FR-1-H_32_26_5669_4","FR-1-H_32_26_5669","FR_PSGHB_75016","FR_CRMHB_35510","FR_PSGHB_75016",10:12:00,13:12:00,5,4,8,4,NA,4,0,1,1,4,1,1,4,3,10800
"FR-1-H_32_26_5669_5","FR-1-H_32_26_5669","FR_PSGHB_75016","FR_CRMHB_35510","FR_PSGHB_75016",14:07:00,28:31:00,8,5,19,5,NA,10,3,7,3,19,3,3,14,11,51840
"FR-1-H_32_26_5669_6","FR-1-H_32_26_5669","FR_PSGHB_75016","FR_CRMHB_35510","FR_CRMHB_35510",28:31:00,30:00:00,19,5,19,7,NA,1,2,0,1,2,1,-14,-12,2,5340
