X_DEPART;Y_DEPART;X_ARRIVEE;Y_ARRIVEE;LB_RESULTAT_DETAIL;ZONE_PASSEUR;ZONE_RECEPTEUR
0.2;0.38;0.05;0.03;BUT;Arrière gauche;Arrière gauche
0.45;0.47;0.22;0.41;BUT;Arrière centre;Arrière gauche
0.64;0.43;0.63;0.32;BUT;Arrière centre;Arrière centre
0.57;0.42;0.75;0.5;TIR CONTRÉ;Arrière centre;Avant droite
0.63;0.56;0.2;0.48;2 MINUTES;Avant centre;Arrière gauche
0.88;0.29;0.97;0.05;BUT;Arrière droite;Arrière droite
0.4;0.48;0.14;0.36;INTERCEPTION;Arrière centre;Arrière gauche
0.54;0.47;0.66;0.4;NEUTRALISATION;Arrière centre;Arrière droite
0.74;0.44;0.82;0.5;BUT;Arrière droite;Avant droite
0.89;0.5;0.54;0.61;HORS CADRE;Avant droite;Avant centre
0.88;0.49;0.53;0.6;ARRÊT;Arrière droite;Avant centre
0.29;0.5;0.06;0.03;ARRÊT;Avant centre;Arrière gauche
0.55;0.54;0.9;0.18;INTERCEPTION;Avant centre;Arrière droite
0.71;0.72;0.54;0.71;NEUTRALISATION;Avant centre;Avant centre
0.74;0.42;0.8;0.53;HORS CADRE;Arrière droite;Avant droite
0.89;0.37;0.82;0.2;INTERCEPTION;Arrière droite;Arrière droite
0.86;0.54;0.98;0.23;BUT;Avant droite;Arrière droite
0.44;0.44;0.36;0.55;ARRÊT;Arrière centre;Avant centre
0.13;0.5;0.48;0.71;POTEAU;Avant gauche;Avant centre
0.24;0.58;0.68;0.59;ARRÊT;Avant gauche;Avant centre
0.67;0.54;0.48;0.4;ARRÊT;Avant centre;Arrière centre
0.54;0.48;0.3;0.44;INTERCEPTION;Arrière centre;Arrière gauche
0.21;0.36;0.05;0.03;ARRÊT;Arrière gauche;Arrière gauche
0.85;0.34;0.98;0.04;BUT;Arrière droite;Arrière droite
0.52;0.44;0.66;0.52;BUT;Arrière centre;Avant centre
0.56;0.37;0.39;0.36;INTERCEPTION;Arrière centre;Arrière centre
0.66;0.69;0.39;0.69;BUT;Avant centre;Avant centre
0.49;0.43;0.1;0.15;INTERCEPTION;Arrière centre;Arrière gauche
0.62;0.38;0.65;0.35;INTERCEPTION;Arrière centre;Arrière centre
0.63;0.71;0.26;0.56;BUT;Avant centre;Avant centre
0.5;0.47;0.09;0.19;ARRÊT;Arrière centre;Arrière gauche
0.22;0.42;0.24;0.43;INTERCEPTION;Arrière gauche;Arrière gauche
