X_DEPART;Y_DEPART;X_ARRIVEE;Y_ARRIVEE;LB_RESULTAT_DETAIL;ZONE_PASSEUR;ZONE_RECEPTEUR
0.51;0.47;0.82;0.52;ARRÊT;Arrière centre;Avant droite
0.78;0.3;0.49;0.45;POTEAU;Arrière droite;Arrière centre
0.47;0.48;0.22;0.4;CARTON JAUNE;Arrière centre;Arrière gauche
0.74;0.46;0.05;0.04;BUT;Arrière droite;Arrière gauche
0.68;0.42;0.84;0.35;CONTRE;Arrière droite;Arrière droite
0.69;0.48;0.54;0.34;BUT;Arrière droite;Arrière centre
0.67;0.47;0.81;0.43;INTERCEPTION;Arrière droite;Arrière droite
0.62;0.71;0.4;0.55;BUT;Avant centre;Avant centre
0.51;0.57;0.16;0.47;ARRÊT;Avant centre;Arrière gauche
0.53;0.49;0.86;0.4;ARRÊT;Arrière centre;Arrière droite
0.51;0.49;0.21;0.45;BUT;Arrière centre;Arrière gauche
0.8;0.31;0.73;0.15;INTERCEPTION;Arrière droite;Arrière droite
0.12;0.48;0.53;0.58;CONTRE;Arrière gauche;Avant centre
0.51;0.48;0.78;0.43;INTERCEPTION;Arrière centre;Arrière droite
0.14;0.49;0.48;0.7;BUT;Arrière gauche;Avant centre
0.88;0.49;0.34;0.56;BUT;Arrière droite;Avant centre
0.54;0.5;0.51;0.33;ARRÊT;Avant centre;Arrière centre
0.49;0.54;0.22;0.46;BUT;Avant centre;Arrière gauche
0.5;0.53;0.2;0.48;2 MINUTES;Avant centre;Arrière gauche
0.51;0.51;0.2;0.5;BUT;Avant centre;Avant gauche
0.23;0.34;0.04;0.06;BUT;Arrière gauche;Arrière gauche
0.56;0.33;0.95;0.2;BUT;Arrière centre;Arrière droite
0.79;0.46;0.98;0.05;HORS CADRE;Arrière droite;Arrière droite
0.11;0.45;0.49;0.54;NEUTRALISATION;Arrière gauche;Avant centre
0.48;0.53;0.14;0.52;ARRÊT;Avant centre;Avant gauche
0.42;0.4;0.53;0.46;BUT;Arrière centre;Arrière centre
0.46;0.42;0.42;0.53;ARRÊT;Arrière centre;Avant centre
0.16;0.59;0.51;0.58;BUT;Avant gauche;Avant centre
0.54;0.58;0.91;0.44;PASSE INCOMPLETE;Avant centre;Arrière droite
0.19;0.38;0.48;0.53;BUT;Arrière gauche;Avant centre
0.52;0.54;0.26;0.5;BUT;Avant centre;Avant centre
0.46;0.55;0.2;0.46;ARRÊT;Avant centre;Arrière gauche
0.51;0.61;0.16;0.52;BUT;Avant centre;Avant gauche
0.64;0.53;0.05;0.03;ARRÊT;Avant centre;Arrière gauche
0.48;0.94;0.12;0.61;BUT;Avant centre;Avant gauche
0.49;0.84;0.83;0.6;BUT;Avant centre;Avant droite
0.59;0.5;0.46;0.32;BUT;Avant centre;Arrière centre
0.47;0.48;0.42;0.3;ARRÊT;Arrière centre;Arrière centre
0.69;0.45;0.54;0.58;ARRÊT;Arrière droite;Avant centre
0.46;0.46;0.57;0.32;BUT;Arrière centre;Arrière centre
0.8;0.42;0.97;0.22;POTEAU;Arrière droite;Arrière droite
0.48;0.59;0.21;0.5;BUT;Avant centre;Avant gauche
0.53;0.5;0.95;0.04;BUT;Avant centre;Arrière droite
0.34;0.46;0.08;0.03;BUT;Arrière centre;Arrière gauche
0.33;0.56;0.65;0.59;BUT;Avant centre;Avant centre
0.54;0.53;0.82;0.46;BUT;Avant centre;Arrière droite
0.11;0.46;0.52;0.59;BUT;Arrière gauche;Avant centre
0.13;0.51;0.49;0.59;CONTRE;Avant gauche;Avant centre
0.46;0.51;0.48;0.32;BUT;Avant centre;Arrière centre
0.78;0.39;0.96;0.03;BUT;Arrière droite;Arrière droite
0.52;0.52;0.53;0.33;BUT;Avant centre;Arrière centre
0.7;0.46;0.29;0.55;TIR CONTRÉ;Arrière droite;Avant centre
0.51;0.71;0.68;0.62;BUT;Avant centre;Avant centre
0.36;0.45;0.75;0.45;ARRÊT;Arrière centre;Arrière droite
0.91;0.43;0.58;0.55;BUT;Arrière droite;Avant centre
0.31;0.42;0.46;0.32;BUT;Arrière gauche;Arrière centre
0.75;0.45;0.95;0.06;BUT;Arrière droite;Arrière droite
0.49;0.54;0.17;0.5;INTERCEPTION;Avant centre;Avant gauche
0.52;0.63;0.24;0.53;ARRÊT;Avant centre;Avant gauche
0.43;0.58;0.84;0.28;INTERCEPTION;Avant centre;Arrière droite
0.53;0.47;0.94;0.08;BUT;Arrière centre;Arrière droite
0.4;0.5;0.52;0.35;INTERCEPTION;Avant centre;Arrière centre
0.52;0.48;0.93;0.07;ARRÊT;Arrière centre;Arrière droite
0.36;0.48;0.52;0.7;ARRÊT;Arrière centre;Avant centre
0.21;0.31;0.07;0.03;BUT;Arrière gauche;Arrière gauche
0.5;0.47;0.52;0.31;BUT;Arrière centre;Arrière centre
0.54;0.54;0.82;0.47;ARRÊT;Avant centre;Arrière droite
0.88;0.51;0.83;0.32;TIR CONTRÉ;Avant droite;Arrière droite
0.77;0.39;0.93;0.01;BUT;Arrière droite;Arrière droite
0.84;0.35;0.95;0.02;ARRÊT;Arrière droite;Arrière droite
0.54;0.45;0.94;0.02;POTEAU;Arrière centre;Arrière droite
0.44;0.47;0.48;0.31;BUT;Arrière centre;Arrière centre
0.31;0.54;0.85;0.5;INTERCEPTION;Avant centre;Avant droite
0.57;0.47;0.9;0.41;BUT;Arrière centre;Arrière droite
0.53;0.52;0.85;0.42;BUT;Avant centre;Arrière droite
0.54;0.48;0.8;0.4;BUT;Arrière centre;Arrière droite
0.92;0.57;0.3;0.58;BUT;Avant droite;Avant centre
0.55;0.55;0.87;0.54;TIR CONTRÉ;Avant centre;Avant droite
0.52;0.5;0.86;0.4;BUT;Avant centre;Arrière droite
0.9;0.56;0.61;0.55;HORS CADRE;Avant droite;Avant centre
0.67;0.45;0.53;0.32;BUT;Arrière droite;Arrière centre
0.49;0.57;0.21;0.55;ARRÊT;Avant centre;Avant gauche
0.3;0.34;0.51;0.51;BUT;Arrière gauche;Avant centre
0.49;0.55;0.92;0.4;PASSE INCOMPLETE;Avant centre;Arrière droite
0.52;0.49;0.36;0.32;ARRÊT;Arrière centre;Arrière centre
0.3;0.44;0.52;0.52;ARRÊT;Arrière gauche;Avant centre
0.54;0.43;0.36;0.56;ARRÊT;Arrière centre;Avant centre
0.53;0.43;0.82;0.35;BUT;Arrière centre;Arrière droite
0.5;0.96;0.52;0.7;BUT;Avant centre;Avant centre
0.8;0.7;0.52;0.7;BUT;Avant droite;Avant centre
0.22;0.47;0.51;0.58;ARRÊT;Arrière gauche;Avant centre
0.38;0.41;0.19;0.58;BUT;Arrière centre;Avant gauche
0.52;0.4;0.35;0.31;NEUTRALISATION;Arrière centre;Arrière centre
0.97;0.1;0.94;0.36;HORS CADRE;Arrière droite;Arrière droite
0.64;0.42;0.85;0.35;BUT;Arrière centre;Arrière droite
0.55;0.48;0.82;0.43;BUT;Arrière centre;Arrière droite
0.5;0.51;0.94;0.07;PASSE INCOMPLETE;Avant centre;Arrière droite
0.61;0.49;0.04;0.04;BUT;Arrière centre;Arrière gauche
0.28;0.43;0.09;0.27;BUT;Arrière gauche;Arrière gauche
0.78;0.4;0.96;0.08;BUT;Arrière droite;Arrière droite
0.54;0.5;0.95;0.04;ARRÊT;Avant centre;Arrière droite
0.53;0.47;0.17;0.46;TIR CONTRÉ;Arrière centre;Arrière gauche
0.64;0.4;0.81;0.5;HORS CADRE;Arrière centre;Avant droite
0.58;0.49;0.47;0.37;PASSE INCOMPLETE;Arrière centre;Arrière centre
0.72;0.71;0.28;0.54;BUT;Avant centre;Avant centre
0.65;0.48;0.73;0.36;2 MINUTES;Arrière centre;Arrière droite
0.63;0.39;0.52;0.33;BUT;Arrière centre;Arrière centre
0.52;0.47;0.66;0.55;ARRÊT;Arrière centre;Avant centre
0.76;0.49;0.54;0.33;BUT;Arrière droite;Arrière centre
0.54;0.49;0.53;0.33;INTERCEPTION;Arrière centre;Arrière centre
0.68;0.4;0.81;0.31;NEUTRALISATION;Arrière droite;Arrière droite
0.63;0.4;0.81;0.5;BUT;Arrière centre;Avant droite
0.22;0.42;0.51;0.53;BUT;Arrière gauche;Avant centre
0.53;0.52;0.48;0.32;PASSE INCOMPLETE;Avant centre;Arrière centre
0.53;0.71;0.78;0.51;BUT;Avant centre;Avant droite
0.49;0.56;0.15;0.48;BUT;Avant centre;Arrière gauche
0.62;0.51;0.61;0.31;PASSE INCOMPLETE;Avant centre;Arrière centre
0.55;0.49;0.66;0.3;PASSE INCOMPLETE;Arrière centre;Arrière droite
0.83;0.49;0.31;0.52;NEUTRALISATION;Arrière droite;Avant centre
0.65;0.52;0.26;0.49;TIR CONTRÉ;Avant centre;Arrière gauche
0.53;0.48;0.48;0.34;CARTON JAUNE;Arrière centre;Arrière centre
0.52;0.55;0.21;0.49;2 MINUTES;Avant centre;Arrière gauche
0.42;0.48;0.05;0.04;ARRÊT;Arrière centre;Arrière gauche
0.08;0.35;0.19;0.46;BUT;Arrière gauche;Arrière gauche
0.09;0.43;0.38;0.57;BUT;Arrière gauche;Avant centre
0.45;0.44;0.53;0.34;PASSE INCOMPLETE;Arrière centre;Arrière centre
0.32;0.48;0.54;0.47;ARRÊT;Arrière gauche;Arrière centre
0.74;0.46;0.5;0.59;ARRÊT;Arrière droite;Avant centre
0.56;0.43;0.46;0.33;NEUTRALISATION;Arrière centre;Arrière centre
0.47;0.49;0.47;0.5;ARRÊT;Arrière centre;Avant centre
0.58;0.48;0.5;0.32;PASSE INCOMPLETE;Arrière centre;Arrière centre
0.48;0.83;0.4;0.58;BUT;Avant centre;Avant centre
0.35;0.58;0.83;0.54;ARRÊT;Avant centre;Avant droite
0.51;0.49;0.3;0.5;BUT;Arrière centre;Avant centre
0.55;0.56;0.85;0.42;INTERCEPTION;Avant centre;Arrière droite
0.52;0.7;0.18;0.55;2 MINUTES;Avant centre;Avant gauche
0.5;0.71;0.86;0.52;ARRÊT;Avant centre;Avant droite
0.2;0.35;0.04;0.04;HORS CADRE;Arrière gauche;Arrière gauche
0.45;0.51;0.81;0.48;BUT;Avant centre;Arrière droite
0.5;0.49;0.61;0.33;BUT;Arrière centre;Arrière centre
0.67;0.47;0.7;0.29;HORS CADRE;Arrière droite;Arrière droite
0.33;0.38;0.53;0.51;BUT;Arrière centre;Avant centre
0.3;0.46;0.24;0.33;2 MINUTES;Arrière gauche;Arrière gauche
0.65;0.5;0.43;0.57;ARRÊT;Avant centre;Avant centre
0.5;0.48;0.3;0.54;ARRÊT;Arrière centre;Avant centre
0.35;0.71;0.68;0.7;ARRÊT;Avant centre;Avant centre
0.79;0.42;0.99;0.03;BUT;Arrière droite;Arrière droite
0.54;0.48;0.52;0.34;PASSE INCOMPLETE;Arrière centre;Arrière centre
0.48;0.83;0.78;0.69;INTERCEPTION;Avant centre;Avant droite
0.74;0.38;0.78;0.26;HORS CADRE;Arrière droite;Arrière droite
0.87;0.5;0.52;0.51;BUT;Avant droite;Avant centre
0.62;0.54;0.3;0.57;ARRÊT;Avant centre;Avant centre
0.5;0.47;0.22;0.45;BUT;Arrière centre;Arrière gauche
0.5;0.46;0.37;0.56;BUT;Arrière centre;Avant centre
0.38;0.48;0.32;0.32;NEUTRALISATION;Arrière centre;Arrière gauche
0.51;0.48;0.27;0.44;BUT;Arrière centre;Arrière gauche
0.56;0.49;0.5;0.35;NEUTRALISATION;Arrière centre;Arrière centre
0.49;0.52;0.24;0.51;PASSAGE EN FORCE;Avant centre;Avant gauche
0.51;0.69;0.22;0.54;PASSAGE EN FORCE;Avant centre;Avant gauche
0.59;0.49;0.5;0.34;PASSE INCOMPLETE;Arrière centre;Arrière centre
0.95;0.42;0.77;0.41;PASSAGE EN FORCE;Arrière droite;Arrière droite
0.37;0.49;0.29;0.28;ARRÊT;Arrière centre;Arrière gauche
0.3;0.46;0.18;0.49;BUT;Arrière gauche;Arrière gauche
0.61;0.5;0.58;0.58;HORS CADRE;Avant centre;Avant centre
0.3;0.81;0.24;0.51;BUT;Avant centre;Avant gauche
0.51;0.84;0.36;0.51;ARRÊT;Avant centre;Avant centre
0.62;0.47;0.78;0.53;BUT;Arrière centre;Avant droite
0.42;0.47;0.37;0.32;FAUTE OFFENSIVE;Arrière centre;Arrière centre
0.56;0.47;0.49;0.38;INTERCEPTION;Arrière centre;Arrière centre
0.78;0.38;0.97;0.05;BUT;Arrière droite;Arrière droite
0.53;0.51;0.79;0.49;BUT;Avant centre;Arrière droite
0.53;0.53;0.06;0.41;BUT;Avant centre;Arrière gauche
0.08;0.42;0.2;0.48;2 MINUTES;Arrière gauche;Arrière gauche
0.6;0.47;0.72;0.52;BUT;Arrière centre;Avant centre
0.6;0.4;0.5;0.47;POTEAU;Arrière centre;Arrière centre
0.5;0.46;0.18;0.44;INTERCEPTION;Arrière centre;Arrière gauche
0.64;0.48;0.52;0.32;ZONE;Arrière centre;Arrière centre
0.57;0.46;0.53;0.35;NEUTRALISATION;Arrière centre;Arrière centre
0.52;0.59;0.83;0.47;ARRÊT;Avant centre;Arrière droite
0.78;0.45;0.7;0.3;NEUTRALISATION;Arrière droite;Arrière droite
0.56;0.51;0.32;0.49;BUT;Avant centre;Arrière gauche
0.56;0.5;0.5;0.32;BUT;Avant centre;Arrière centre
0.22;0.44;0.52;0.57;INTERCEPTION;Arrière gauche;Avant centre
0.59;0.53;0.3;0.53;NEUTRALISATION;Avant centre;Avant centre
0.24;0.38;0.02;0.02;BUT;Arrière gauche;Arrière gauche
0.7;0.48;0.36;0.59;ARRÊT;Arrière droite;Avant centre
0.53;0.49;0.74;0.47;NEUTRALISATION;Arrière centre;Arrière droite
0.26;0.36;0.04;0.05;BUT;Arrière gauche;Arrière gauche
0.5;0.82;0.5;0.82;BUT;Avant centre;Avant centre
0.38;0.4;0.5;0.36;BUT;Arrière centre;Arrière centre
0.48;0.49;0.67;0.52;BUT;Arrière centre;Avant centre
0.52;0.51;0.51;0.33;PASSE INCOMPLETE;Avant centre;Arrière centre
0.5;0.5;0.86;0.44;INTERCEPTION;Avant centre;Arrière droite
0.32;0.59;0.68;0.32;HORS CADRE;Avant centre;Arrière droite
0.52;0.49;0.5;0.35;PASSE INCOMPLETE;Arrière centre;Arrière centre
0.6;0.49;0.51;0.35;BUT;Arrière centre;Arrière centre
0.23;0.4;0.06;0.05;BUT;Arrière gauche;Arrière gauche
0.66;0.45;0.86;0.38;BUT;Arrière droite;Arrière droite
0.42;0.47;0.41;0.54;BUT;Arrière centre;Avant centre
0.31;0.4;0.52;0.34;PASSE INCOMPLETE;Arrière gauche;Arrière centre
0.52;0.49;0.88;0.45;INTERCEPTION;Arrière centre;Arrière droite
0.86;0.57;0.54;0.7;NEUTRALISATION;Avant droite;Avant centre
0.49;0.51;0.28;0.48;NEUTRALISATION;Avant centre;Arrière gauche
0.5;0.48;0.5;0.51;TIR CONTRÉ;Arrière centre;Avant centre
0.03;0.03;0.1;0.3;NEUTRALISATION;Arrière gauche;Arrière gauche
0.69;0.6;0.84;0.38;ARRÊT;Avant centre;Arrière droite
0.5;0.53;0.17;0.5;HORS CADRE;Avant centre;Avant gauche
0.76;0.4;0.97;0.06;BUT;Arrière droite;Arrière droite
0.32;0.83;0.51;0.82;BUT;Avant centre;Avant centre
0.47;0.47;0.33;0.44;POTEAU;Arrière centre;Arrière centre
0.12;0.46;0.58;0.55;TIR CONTRÉ;Arrière gauche;Avant centre
0.49;0.95;0.5;0.55;BUT;Avant centre;Avant centre
0.52;0.48;0.68;0.51;NEUTRALISATION;Arrière centre;Avant centre
0.68;0.49;0.38;0.5;POTEAU;Arrière droite;Avant centre
0.51;0.56;0.83;0.55;ARRÊT;Avant centre;Avant droite
0.89;0.53;0.5;0.59;NEUTRALISATION;Avant droite;Avant centre
0.45;0.49;0.66;0.53;PASSAGE EN FORCE;Arrière centre;Avant centre
0.45;0.44;0.04;0.05;BUT;Arrière centre;Arrière gauche
0.84;0.49;0.53;0.55;BUT;Arrière droite;Avant centre
0.66;0.54;0.01;0.47;BALLON SORTI;Avant centre;Arrière gauche
0.52;0.56;0.85;0.44;ARRÊT;Avant centre;Arrière droite
0.43;0.46;0.5;0.35;ARRÊT;Arrière centre;Arrière centre
0.47;0.82;0.69;0.7;BUT;Avant centre;Avant centre
0.13;0.45;0.48;0.52;NEUTRALISATION;Arrière gauche;Avant centre
0.56;0.37;0.51;0.36;BUT;Arrière centre;Arrière centre
0.48;0.5;0.16;0.4;NEUTRALISATION;Avant centre;Arrière gauche
0.45;0.47;0.45;0.33;PASSE INCOMPLETE;Arrière centre;Arrière centre
0.52;0.96;0.71;0.2;INTERCEPTION;Avant centre;Arrière droite
0.51;0.52;0.82;0.48;TIR CONTRÉ;Avant centre;Arrière droite
0.31;0.54;0.71;0.52;ARRÊT;Avant centre;Avant centre
0.52;0.83;0.22;0.7;BUT;Avant centre;Avant gauche
0.61;0.49;0.46;0.32;NEUTRALISATION;Arrière centre;Arrière centre
0.32;0.47;0.52;0.58;ARRÊT;Arrière gauche;Avant centre
0.37;0.71;0.23;0.55;NEUTRALISATION;Avant centre;Avant gauche
0.18;0.41;0.5;0.5;NEUTRALISATION;Arrière gauche;Avant centre
0.47;0.48;0.72;0.52;BUT;Arrière centre;Avant centre
0.51;0.51;0.49;0.7;BUT;Avant centre;Avant centre
0.39;0.47;0.8;0.55;ARRÊT;Arrière centre;Avant droite
0.5;0.83;0.53;0.56;ARRÊT;Avant centre;Avant centre
0.34;0.45;0.49;0.34;NEUTRALISATION;Arrière centre;Arrière centre
0.52;0.43;0.72;0.5;PASSAGE EN FORCE;Arrière centre;Avant centre
0.84;0.31;0.52;0.49;BUT;Arrière droite;Arrière centre
0.62;0.48;0.24;0.59;ARRÊT;Arrière centre;Avant gauche
0.42;0.49;0.17;0.5;BUT;Arrière centre;Avant gauche
0.42;0.35;0.27;0.29;BUT;Arrière centre;Arrière gauche
0.46;0.58;0.96;0.07;BUT;Avant centre;Arrière droite
0.67;0.41;0.82;0.31;NEUTRALISATION;Arrière droite;Arrière droite
0.66;0.43;0.84;0.36;NEUTRALISATION;Arrière droite;Arrière droite
0.1;0.42;0.35;0.5;NEUTRALISATION;Arrière gauche;Avant centre
0.5;0.48;0.62;0.32;BUT;Arrière centre;Arrière centre
0.5;0.5;0.27;0.47;BUT;Avant centre;Arrière gauche
0.46;0.47;0.18;0.51;ARRÊT;Arrière centre;Avant gauche
0.52;0.6;0.1;0.56;NEUTRALISATION;Avant centre;Avant gauche
0.69;0.46;0.81;0.55;BUT;Arrière droite;Avant droite
0.09;0.42;0.42;0.59;BUT;Arrière gauche;Avant centre
0.77;0.43;0.67;0.5;HORS CADRE;Arrière droite;Avant centre
0.24;0.4;0.25;0.27;NEUTRALISATION;Arrière gauche;Arrière gauche
0.07;0.39;0.31;0.57;NEUTRALISATION;Arrière gauche;Avant centre
0.26;0.44;0.19;0.48;NEUTRALISATION;Arrière gauche;Arrière gauche
0.27;0.45;0.2;0.48;ARRÊT;Arrière gauche;Arrière gauche
0.34;0.54;0.65;0.58;BUT;Avant centre;Avant centre
0.67;0.5;0.47;0.55;ARRÊT;Avant centre;Avant centre
0.14;0.49;0.59;0.55;NEUTRALISATION;Arrière gauche;Avant centre
0.24;0.37;0.04;0.07;BUT;Arrière gauche;Arrière gauche
0.81;0.32;0.86;0.25;PASSE INCOMPLETE;Arrière droite;Arrière droite
0.49;0.46;0.74;0.54;NEUTRALISATION;Arrière centre;Avant centre
0.2;0.47;0.52;0.56;BUT;Arrière gauche;Avant centre
0.82;0.24;0.02;0.25;BALLON SORTI;Arrière droite;Arrière gauche
0.08;0.2;0.12;0.49;NEUTRALISATION;Arrière gauche;Arrière gauche
0.22;0.34;0.35;0.32;HORS CADRE;Arrière gauche;Arrière centre
0.28;0.43;0.26;0.56;BUT;Arrière gauche;Avant centre
0.62;0.43;0.85;0.38;BUT;Arrière centre;Arrière droite
0.43;0.4;0.54;0.36;INTERCEPTION;Arrière centre;Arrière centre
0.51;0.47;0.18;0.42;BUT;Arrière centre;Arrière gauche
0.15;0.43;0.54;0.56;ARRÊT;Arrière gauche;Avant centre
0.89;0.5;0.53;0.56;BUT;Avant droite;Avant centre
0.8;0.46;0.43;0.5;BUT;Arrière droite;Avant centre
0.86;0.49;0.5;0.53;2 MINUTES;Arrière droite;Avant centre
0.55;0.5;0.34;0.3;BUT;Avant centre;Arrière centre
0.19;0.48;0.5;0.54;NEUTRALISATION;Arrière gauche;Avant centre
0.36;0.44;0.21;0.39;NEUTRALISATION;Arrière centre;Arrière gauche
0.48;0.53;0.11;0.5;ARRÊT;Avant centre;Avant gauche
0.39;0.47;0.66;0.47;PASSAGE EN FORCE;Arrière centre;Arrière droite
0.51;0.54;0.3;0.3;BUT;Avant centre;Arrière gauche
0.29;0.44;0.26;0.49;NEUTRALISATION;Arrière gauche;Arrière gauche
0.66;0.48;0.25;0.47;NEUTRALISATION;Arrière droite;Arrière gauche
0.46;0.45;0.4;0.5;ARRÊT;Arrière centre;Avant centre
0.28;0.46;0.52;0.32;BUT;Arrière gauche;Arrière centre
0.46;0.39;0.34;0.3;BUT;Arrière centre;Arrière centre
0.5;0.71;0.23;0.54;NEUTRALISATION;Avant centre;Avant gauche
0.08;0.41;0.14;0.53;NEUTRALISATION;Arrière gauche;Avant gauche
0.29;0.4;0.24;0.25;2 MINUTES;Arrière gauche;Arrière gauche
0.71;0.5;0.44;0.55;POTEAU;Avant centre;Avant centre
0.39;0.55;0.77;0.5;NEUTRALISATION;Avant centre;Avant droite
0.34;0.37;0.23;0.31;NEUTRALISATION;Arrière centre;Arrière gauche
0.54;0.54;0.99;0.26;BALLON SORTI;Avant centre;Arrière droite
0.23;0.33;0.27;0.48;NEUTRALISATION;Arrière gauche;Arrière gauche
0.46;0.49;0.2;0.4;PASSAGE EN FORCE;Arrière centre;Arrière gauche
0.55;0.48;0.53;0.54;ARRÊT;Arrière centre;Avant centre
0.48;0.7;0.06;0.26;BUT;Avant centre;Arrière gauche
0.18;0.48;0.44;0.62;HORS CADRE;Arrière gauche;Avant centre
0.52;0.56;0.92;0.43;NEUTRALISATION;Avant centre;Arrière droite
0.23;0.48;0.72;0.5;TIR CONTRÉ;Arrière gauche;Avant centre
0.27;0.37;0.46;0.53;TIR CONTRÉ;Arrière gauche;Avant centre
0.26;0.38;0.23;0.45;BUT;Arrière gauche;Arrière gauche
0.68;0.34;0.82;0.24;ARRÊT;Arrière droite;Arrière droite
0.52;0.47;0.19;0.53;HORS CADRE;Arrière centre;Avant gauche
0.47;0.97;0.86;0.7;BUT;Avant centre;Avant droite
0.52;0.5;0.19;0.45;NEUTRALISATION;Avant centre;Arrière gauche
0.07;0.36;0.17;0.49;NEUTRALISATION;Arrière gauche;Arrière gauche
0.41;0.42;0.2;0.48;BUT;Arrière centre;Arrière gauche
0.62;0.46;0.87;0.34;ARRÊT;Arrière centre;Arrière droite
0.45;0.4;0.6;0.39;PASSE INCOMPLETE;Arrière centre;Arrière centre
0.22;0.4;0.17;0.19;NEUTRALISATION;Arrière gauche;Arrière gauche
0.31;0.56;0.8;0.45;ARRÊT;Avant centre;Arrière droite
0.5;0.48;0.22;0.41;NEUTRALISATION;Arrière centre;Arrière gauche
0.5;0.71;0.26;0.6;BUT;Avant centre;Avant centre
0.56;0.48;0.4;0.33;NEUTRALISATION;Arrière centre;Arrière centre
0.72;0.55;0.4;0.55;NEUTRALISATION;Avant centre;Avant centre
0.5;0.85;0.58;0.48;BUT;Avant centre;Arrière centre
0.51;0.7;0.17;0.58;TIR CONTRÉ;Avant centre;Avant gauche
0.8;0.53;0.48;0.49;NEUTRALISATION;Avant droite;Arrière centre
0.88;0.47;0.51;0.56;HORS CADRE;Arrière droite;Avant centre
0.63;0.52;0.37;0.53;NEUTRALISATION;Avant centre;Avant centre
0.68;0.36;0.93;0.1;BUT;Arrière droite;Arrière droite
0.87;0.34;0.73;0.52;NEUTRALISATION;Arrière droite;Avant centre
0.18;0.48;0.53;0.51;NEUTRALISATION;Arrière gauche;Avant centre
0.74;0.48;0.9;0.35;NEUTRALISATION;Arrière droite;Arrière droite
0.29;0.36;0.21;0.5;BUT;Arrière gauche;Avant gauche
0.42;0.47;0.61;0.52;BUT;Arrière centre;Avant centre
0.41;0.47;0.44;0.33;BUT;Arrière centre;Arrière centre
0.24;0.45;0.5;0.53;BUT;Arrière gauche;Avant centre
0.82;0.46;0.98;0.06;BUT;Arrière droite;Arrière droite
0.6;0.48;0.5;0.35;ZONE;Arrière centre;Arrière centre
0.71;0.5;0.91;0.19;ARRÊT;Avant centre;Arrière droite
0.18;0.44;0.52;0.52;ARRÊT;Arrière gauche;Avant centre
0.68;0.5;0.55;0.32;2 MINUTES;Avant centre;Arrière centre
0.9;0.48;0.44;0.62;POTEAU;Arrière droite;Avant centre
0.47;0.82;0.5;0.82;BALLON SORTI;Avant centre;Avant centre
0.24;0.41;0.07;0.12;BUT;Arrière gauche;Arrière gauche
0.46;0.49;0.59;0.56;HORS CADRE;Arrière centre;Avant centre
0.51;0.49;0.18;0.47;NEUTRALISATION;Arrière centre;Arrière gauche
0.25;0.54;0.38;0.32;BUT;Avant centre;Arrière centre
0.5;0.43;0.17;0.43;INTERCEPTION;Arrière centre;Arrière gauche
0.64;0.48;0.52;0.62;ARRÊT;Arrière centre;Avant centre
0.31;0.46;0.44;0.31;BUT;Arrière gauche;Arrière centre
0.93;0.5;0.48;0.59;TIR CONTRÉ;Avant droite;Avant centre
0.62;0.44;0.7;0.32;NEUTRALISATION;Arrière centre;Arrière droite
0.37;0.39;0.54;0.53;BUT;Arrière centre;Avant centre
0.11;0.41;0.37;0.54;BUT;Arrière gauche;Avant centre
0.54;0.45;0.44;0.33;BUT;Arrière centre;Arrière centre
0.12;0.33;0.28;0.44;ARRÊT;Arrière gauche;Arrière gauche
0.64;0.48;0.98;0.04;ARRÊT;Arrière centre;Arrière droite
0.34;0.46;0.57;0.35;BUT;Arrière centre;Arrière centre
0.51;0.54;0.9;0.41;BUT;Avant centre;Arrière droite
0.33;0.46;0.76;0.53;BUT;Arrière centre;Avant droite
0.78;0.41;0.97;0.06;ARRÊT;Arrière droite;Arrière droite
0.43;0.5;0.36;0.32;BUT;Avant centre;Arrière centre
0.83;0.4;0.92;0.31;BUT;Arrière droite;Arrière droite
0.07;0.33;0.21;0.45;BUT;Arrière gauche;Arrière gauche
0.54;0.42;0.06;0.06;BUT;Arrière centre;Arrière gauche
0.48;0.5;0.2;0.43;INTERCEPTION;Avant centre;Arrière gauche
0.17;0.37;0.25;0.43;BUT;Arrière gauche;Arrière gauche
0.49;0.71;0.85;0.59;BUT;Avant centre;Avant droite
0.55;0.46;0.49;0.33;BUT;Arrière centre;Arrière centre
0.5;0.53;0.51;0.34;BUT;Avant centre;Arrière centre
0.44;0.49;0.72;0.52;BUT;Arrière centre;Avant centre
0.46;0.49;0.94;0.19;ARRÊT;Arrière centre;Arrière droite
0.28;0.4;0.4;0.53;BUT;Arrière gauche;Avant centre
0.46;0.47;0.38;0.32;BUT;Arrière centre;Arrière centre
0.44;0.49;0.98;0.06;BUT;Arrière centre;Arrière droite
0.53;0.51;0.86;0.41;NEUTRALISATION;Avant centre;Arrière droite
0.84;0.45;0.77;0.28;NEUTRALISATION;Arrière droite;Arrière droite
0.51;0.52;0.14;0.43;BUT;Avant centre;Arrière gauche
0.68;0.52;0.28;0.5;BUT;Avant centre;Avant centre
0.51;0.44;0.85;0.26;INTERCEPTION;Arrière centre;Arrière droite
0.68;0.44;0.88;0.43;HORS CADRE;Arrière droite;Arrière droite
0.48;0.51;0.62;0.34;INTERCEPTION;Avant centre;Arrière centre
0.51;0.53;0.9;0.28;NEUTRALISATION;Avant centre;Arrière droite
0.05;0.37;0.16;0.51;TIR CONTRÉ;Arrière gauche;Avant gauche
