"CD_MATCH","MOMENTUM","nb_momentums","GAGNE","ECART_POINTS"
"FR-1-H_32_30_5699","FR_CRMHB_35510",5,FALSE,-3
"FR-1-H_32_30_5700","FR_LHB_87000",8,TRUE,1
"FR-1-H_32_30_5700","FR_HBCN_44200",6,FALSE,-1
"FR-1-H_32_30_5701","FR_MHB_34000",7,TRUE,7
"FR-1-H_32_30_5701","FR_SRVHB_83700",5,FALSE,-7
"FR-1-H_32_30_5702","FR_USAMNG_30918",8,TRUE,5
"FR-1-H_32_30_5702","FR_IPHB_13806",6,FALSE,-5
"FR-1-H_32_30_5703","FR_TFHB_93290",5,FALSE,-3
"FR-1-H_32_30_5703","FR_PSGHB_75016",6,TRUE,3
"FR-1-H_32_31_5704","FR_CRMHB_35510",2,FALSE,-5
"FR-1-H_32_31_5704","FR_CSMBHB_73000",7,TRUE,5
"FR-1-H_32_31_5705","FR_DHBGL_59140",5,FALSE,-3
"FR-1-H_32_31_5705","FR_USAMNG_30918",5,TRUE,3
"FR-1-H_32_31_5706","FR_IPHB_13806",5,FALSE,-5
"FR-1-H_32_31_5706","FR_CCMHB_28000",8,TRUE,5
"FR-1-H_32_31_5707","FR_USIHB_94200",6,FALSE,-5
"FR-1-H_32_31_5707","FR_MHB_34000",7,TRUE,5
"FR-1-H_32_31_5708","FR_HBCN_44200",6,TRUE,3
"FR-1-H_32_31_5708","FR_USCHB_94000",6,FALSE,-3
"FR-1-H_32_31_5709","FR_PSGHB_75016",10,TRUE,22
"FR-1-H_32_31_5709","FR_LHB_87000",3,FALSE,-22
"FR-1-H_32_31_5710","FR_SRVHB_83700",6,FALSE,-3
"FR-1-H_32_31_5710","FR_PAUC_13100",6,TRUE,3
"FR-1-H_32_31_5711","FR_FTHB_31000",6,TRUE,1
"FR-1-H_32_31_5711","FR_TFHB_93290",6,FALSE,-1
"FR-1-H_32_32_5712","FR_DHBGL_59140",5,FALSE,-1
"FR-1-H_32_32_5712","FR_PAUC_13100",7,TRUE,1
"FR-1-H_32_32_5713","FR_CSMBHB_73000",3,FALSE,-9
"FR-1-H_32_32_5713","FR_HBCN_44200",6,TRUE,9
"FR-1-H_32_32_5714","FR_CCMHB_28000",10,TRUE,4
"FR-1-H_32_32_5714","FR_USIHB_94200",8,FALSE,-4
"FR-1-H_32_32_5715","FR_USCHB_94000",4,FALSE,-3
"FR-1-H_32_32_5715","FR_IPHB_13806",3,TRUE,3
